pair_key,clip_text_prompt
Arms behind as wings pick up knees - bent a little|||Backwards Running,A person runs backwards with arms behind like wings and knees slightly bent.
Arms behind as wings pick up knees - bent a little|||Backwards Walking,"A person walks backwards, lifting slightly bent knees with arms behind like wings."
Arms behind as wings pick up knees - bent a little|||Forwards Running,"A person runs forward with arms behind like wings, lifting slightly bent knees."
Arms behind as wings pick up knees - bent a little|||Forwards Walking,"A person walks forwards with arms held behind like wings, lifting slightly bent knees."
Arms behind as wings pick up knees - bent a little|||Idling,A person uses arms behind like wings to lift slightly bent knees while idling.
Arms behind as wings pick up knees - bent a little|||Sidestep Running,"A person sidestep runs, arms behind as wings, picking up slightly bent knees."
Arms behind as wings pick up knees - bent a little|||Sidestep Walking,A person sidesteps with arms held behind like wings and knees lifted slightly.
Arms behind as wings pick up knees - bent a little|||Transition 1,Human motion of a person with arms held behind like wings while lifting slightly bent knees.
Arms infront like zombie|||Backwards Running,A person runs backwards with arms outstretched in front like a zombie.
Arms infront like zombie|||Backwards Walking,A person walks backwards with arms extended forward like a zombie.
Arms infront like zombie|||Forwards Running,A person runs forward with arms held out in front like a zombie.
Arms infront like zombie|||Forwards Walking,A person walks forward with arms extended in front like a zombie.
Arms infront like zombie|||Idling,A person idles with arms held out in front like a zombie.
Arms infront like zombie|||Sidestep Running,A person runs sideways with arms extended forward like a zombie.
Arms infront like zombie|||Sidestep Walking,A person sidesteps with arms held out in front like a zombie.
Arms infront like zombie|||Transition 1,A person transitions with arms extended forward in a zombie-like stance.
Arms out to side for balance - tilting side to side|||Backwards Running,A person runs backwards with arms extended sideways for balance while tilting side to side.
Arms out to side for balance - tilting side to side|||Backwards Walking,A person walks backwards with arms extended sideways for balance while tilting side to side.
Arms out to side for balance - tilting side to side|||Forwards Running,"A person runs forward with arms outstretched for balance, tilting side to side."
Arms out to side for balance - tilting side to side|||Forwards Walking,"A person walks forward with arms out to the sides for balance, tilting side to side."
Arms out to side for balance - tilting side to side|||Idling,A person tilts side to side with arms extended for balance while idling.
Arms out to side for balance - tilting side to side|||Sidestep Running,"A person sidestep runs, tilting side to side with arms out for balance."
Arms out to side for balance - tilting side to side|||Sidestep Walking,"A person sidesteps with arms out for balance, tilting side to side."
Arms out to side for balance - tilting side to side|||Transition 1,A person tilts side to side with arms out for balance during a lower body transition.
Arms raised straight above head|||Backwards Running,Human motion of running backwards with arms raised straight above the head.
Arms raised straight above head|||Backwards Walking,Human motion of walking backwards with arms raised straight above the head.
Arms raised straight above head|||Forwards Running,A person runs forwards with arms raised straight above head.
Arms raised straight above head|||Forwards Walking,A person walks forward with arms raised straight above their head.
Arms raised straight above head|||Idling,A person idles with arms raised straight above head.
Arms raised straight above head|||Sidestep Running,A person sidestep runs with arms raised straight above their head.
Arms raised straight above head|||Sidestep Walking,A person walks sideways with arms raised straight above their head.
Arms raised straight above head|||Transition 1,A person raises arms straight above head while transitioning lower body.
Arms straight by sides slightly back very small quick steps|||Backwards Running,"A person runs backwards with very small quick steps, arms straight and slightly back by their sides."
Arms straight by sides slightly back very small quick steps|||Backwards Walking,"A person walks backwards with arms straight by their sides, slightly back, taking very small, quick steps."
Arms straight by sides slightly back very small quick steps|||Forwards Running,"A person runs forward with arms straight and slightly back, taking very small quick steps."
Arms straight by sides slightly back very small quick steps|||Forwards Walking,"A person walks forward with very small quick steps, arms straight by their sides and slightly back."
Arms straight by sides slightly back very small quick steps|||Idling,A person idles with arms straight by sides slightly back and very small quick steps.
Arms straight by sides slightly back very small quick steps|||Sidestep Running,"A person sidestep runs with arms straight and slightly back, taking very small quick steps."
Arms straight by sides slightly back very small quick steps|||Sidestep Walking,"A person sidesteps with very small, quick steps, arms straight by their sides and slightly back."
Arms straight by sides slightly back very small quick steps|||Transition 1,"A person transitions with very small quick steps, arms straight by sides and slightly back."
As bent forward style but on tip toes|||Backwards Running,A person runs backwards with a bent-forward posture and on tiptoes.
As bent forward style but on tip toes|||Backwards Walking,A person walks backwards while bent forward on tip toes.
As bent forward style but on tip toes|||Forwards Running,A person runs forward on tip toes while leaning forward.
As bent forward style but on tip toes|||Forwards Walking,A person walks forward while bent forward and on tip toes.
As bent forward style but on tip toes|||Idling,A person stands idly on tip toes with the upper body bent forward.
As bent forward style but on tip toes|||Sidestep Running,A person sidestep runs while leaning forward and standing on tip toes.
As bent forward style but on tip toes|||Sidestep Walking,A person sidesteps while bent forward on tip toes.
As bent forward style but on tip toes|||Transition 1,A person transitions while bent forward on tip toes.
As crouched style but on tip toes|||Backwards Running,A person runs backwards while crouched on their tiptoes.
As crouched style but on tip toes|||Backwards Walking,A person walks backwards while crouched on tiptoes.
As crouched style but on tip toes|||Forwards Running,A person runs forward in a crouched stance on tiptoes.
As crouched style but on tip toes|||Forwards Walking,A person walks forward while crouched on tiptoes.
As crouched style but on tip toes|||Idling,A person crouches on tip toes while idling.
As crouched style but on tip toes|||Sidestep Running,Human motion of a crouched person on tiptoes sidestepping while running.
As crouched style but on tip toes|||Sidestep Walking,A person sidesteps while crouched on tip toes.
As crouched style but on tip toes|||Transition 1,A person crouches on tip toes while transitioning.
As if holding a rifle and raiding a building|||Backwards Running,A person runs backwards while holding a rifle as if raiding a building.
As if holding a rifle and raiding a building|||Backwards Walking,Human motion of walking backwards while holding a rifle as if raiding a building.
As if holding a rifle and raiding a building|||Forwards Running,A person runs forward while holding a rifle as if raiding a building.
As if holding a rifle and raiding a building|||Forwards Walking,A person walks forward as if holding a rifle and raiding a building.
As if holding a rifle and raiding a building|||Idling,A person stands idle while holding a rifle as if raiding a building.
As if holding a rifle and raiding a building|||Sidestep Running,A person sidestep runs while holding a rifle as if raiding a building.
As if holding a rifle and raiding a building|||Sidestep Walking,A person sidesteps while holding a rifle and raiding a building.
As if holding a rifle and raiding a building|||Transition 1,A person moves forward holding a rifle as if raiding a building.
As large steps as possible|||Backwards Running,A person runs backwards while taking as large steps as possible.
As large steps as possible|||Backwards Walking,"A person walks backwards, taking as large steps as possible."
As large steps as possible|||Forwards Running,A person runs forwards with as large steps as possible.
As large steps as possible|||Forwards Walking,A person walks forwards with steps as large as possible.
As large steps as possible|||Idling,A person idles with upper body movements mimicking large steps.
As large steps as possible|||Sidestep Running,A person sidestep runs with as large steps as possible.
As large steps as possible|||Sidestep Walking,A person sidesteps with large strides.
